id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
6092,2,30,1,627,0,1,8,3,4,13,55,50,500,3,0,0,5,1
6093,2,32,2,627,1,5,4,1,4,17,144,86,478,0,0,0,,
6094,1,33,2,627,0,9,13,2,2,22,150,46,500,0,0,1,,
6095,2,32,2,627,1,0,8,3,4,16,146,70,500,9,0,0,5,1
6096,2,32,2,627,1,7,11,1,4,9,169,218,437,0,0,0,,
6097,2,31,2,627,1,5,10,4,4,18,224,64,496,0,0,1,,
6098,2,30,1,627,1,2,3,1,2,16,128,70,500,0,0,0,2,0
6099,1,31,2,627,0,1,8,4,4,0,125,31,500,4,0,1,4,1
6100,1,34,2,627,1,10,9,3,2,14,300,28,500,0,0,1,,
6101,1,32,2,627,1,6,5,0,2,20,97,84,476,0,0,0,2,0
6102,2,31,2,627,1,0,1,0,4,14,196,157,500,0,0,0,,
6103,2,30,1,627,1,2,4,2,4,8,45,0,413,0,0,0,5,1
6104,2,32,1,1623,1,8,4,1,4,5,142,108,418,0,0,0,,
6105,2,32,2,1623,1,7,0,0,4,12,228,153,500,0,0,1,,
6106,2,28,2,1623,1,0,6,1,4,2,72,0,167,0,0,0,4,1
6107,2,29,2,1623,1,6,6,4,1,15,328,589,500,1,0,1,,
6108,2,31,2,1623,1,5,9,5,2,7,171,85,500,0,0,1,,
6109,2,34,2,1623,1,10,7,2,3,16,200,301,500,0,0,1,,
6110,1,34,2,1623,1,9,12,6,4,16,313,91,500,7,0,1,5,1
6111,1,34,2,1623,1,6,1,0,4,22,107,122,500,1,0,0,2,0
6112,2,36,2,1623,1,9,10,3,4,6,299,344,500,1,0,1,5,1
6113,2,31,1,1623,1,8,3,1,4,9,191,21,74,4,0,0,3,1
6114,1,30,2,1623,1,9,5,6,2,8,691,47,64,4,0,1,4,1
6115,1,31,2,1623,1,0,0,0,1,14,45,12,438,0,0,0,2,0
6116,1,33,2,710,1,0,3,3,4,16,178,2,179,3,1,1,4,1
6117,2,31,2,1635,0,0,1,0,4,6,39,8,251,0,0,1,2,1
6118,1,30,2,1623,1,2,2,0,4,4,71,23,96,0,0,0,4,1
6119,2,31,2,1623,1,5,10,2,4,16,106,104,500,0,0,0,2,0
6120,2,31,2,1623,1,7,0,4,1,24,240,208,500,4,0,1,5,1
6121,2,32,2,1623,1,1,3,0,2,10,59,23,500,0,0,0,5,1
6122,2,34,2,1623,1,2,4,1,1,20,167,8,244,2,0,1,4,1
6123,2,33,1,1623,1,8,9,1,4,9,185,26,421,1,0,0,3,0
6124,2,35,1,461,1,4,4,4,4,12,144,95,483,1,1,1,3,1
6125,2,33,2,637,1,2,2,0,4,10,280,0,25,1,0,0,3,0
6126,2,30,2,637,1,0,0,3,2,5,88,0,79,0,0,0,2,0
6127,1,30,2,637,1,0,2,0,3,10,66,17,161,0,0,0,2,0
6128,2,34,2,637,1,2,1,0,1,10,21,0,255,0,0,0,1,0
6129,2,37,2,637,1,0,0,2,4,9,96,39,292,0,0,0,3,1
6130,1,28,2,637,1,3,1,1,4,6,59,0,182,0,0,1,3,0
6131,2,31,2,637,1,3,2,0,4,8,17,0,271,0,0,0,2,0
6132,2,33,2,637,1,10,2,2,2,12,104,0,281,0,0,0,2,0
6133,2,30,2,637,1,0,1,3,4,14,72,92,500,0,0,1,1,0
6134,2,34,2,1008,1,10,8,1,2,9,248,44,500,0,0,1,3,1
6135,1,33,1,637,1,10,15,7,2,12,378,147,403,0,0,1,5,1
6136,1,34,1,637,1,11,4,3,4,11,313,72,385,3,0,1,4,1
6137,2,30,1,637,1,3,1,0,2,10,72,0,500,0,0,0,2,0
6138,1,33,2,637,1,5,0,0,4,9,22,0,473,2,0,0,2,0
6139,1,33,2,637,1,2,4,3,1,16,116,17,500,2,0,1,5,1
6140,2,31,1,637,1,0,2,0,4,5,18,12,500,0,0,0,1,1
6141,2,32,2,637,1,6,6,1,2,7,129,0,500,0,0,0,2,0
6142,2,35,2,645,1,16,7,3,1,15,217,83,500,4,0,0,5,1
6143,1,35,2,645,1,0,0,2,4,6,54,18,110,0,0,0,2,1
6144,2,32,2,645,1,2,3,1,2,14,96,10,347,0,0,0,3,1
6145,2,35,1,645,1,3,6,1,2,5,127,91,151,0,0,0,3,1
6146,1,33,1,645,1,2,0,0,4,2,15,0,109,0,0,0,3,1
6147,2,30,2,645,0,7,10,3,2,11,73,14,269,0,0,0,2,0
6148,2,35,1,645,0,7,6,0,4,12,62,0,395,5,0,0,5,1
6149,2,33,2,645,1,10,16,8,4,16,313,332,500,0,0,1,5,1
6150,2,29,2,645,1,3,6,0,4,16,239,15,252,0,0,0,2,0
6151,2,32,1,710,1,4,5,2,4,10,107,62,253,0,1,1,2,1
6152,2,33,1,2169,1,8,6,2,4,9,200,86,426,0,0,0,5,1
6153,2,29,2,3490,1,5,4,3,4,22,180,35,500,0,1,1,3,1
6154,1,32,2,3490,1,3,0,2,4,8,140,48,139,0,1,0,3,1
6155,2,31,2,3490,1,5,5,1,4,6,126,152,500,0,1,0,3,1
6156,2,30,2,3490,1,5,4,1,4,10,350,42,500,0,1,1,4,1
6157,2,32,2,3490,1,3,4,1,4,11,44,7,500,0,1,0,2,0
6158,2,35,2,3490,1,11,9,0,2,19,222,222,500,1,1,1,5,1
6159,2,30,1,3490,1,5,5,3,4,10,396,50,500,0,1,1,4,1
6160,1,34,2,3490,1,2,10,0,4,14,136,4,111,0,1,0,2,1
6161,1,29,1,3490,1,7,2,0,4,10,119,53,54,0,1,0,2,0
6162,1,32,1,3490,1,2,5,3,4,4,250,14,86,2,1,1,2,0
6163,2,32,2,3490,1,5,9,0,4,8,203,65,130,0,1,0,2,0
6164,2,31,2,3490,1,8,18,2,4,30,191,4,196,1,1,1,4,1
6165,2,31,1,3490,1,2,0,0,2,8,71,8,132,0,1,0,3,1
6166,1,38,2,3490,1,4,3,0,2,8,87,6,83,0,1,1,4,1
6167,1,36,2,3490,1,3,4,1,3,4,355,1,145,0,1,0,4,1
6168,2,35,2,3490,1,4,9,0,3,12,257,62,419,1,1,0,4,1
6170,2,36,2,3490,1,1,1,0,3,10,23,0,38,0,1,0,2,0
6171,2,32,2,3490,1,2,0,1,4,10,97,0,74,0,1,1,4,1
6172,1,32,2,3490,1,5,4,0,4,12,33,0,117,0,1,0,5,1
6173,2,31,2,3490,1,3,3,4,3,12,69,18,400,0,1,0,4,1
6174,2,30,2,3490,1,4,4,2,2,8,259,5,267,0,1,0,3,1
6175,2,34,2,3490,1,1,3,2,4,14,84,0,500,0,1,0,3,0
6176,2,34,1,3490,1,4,0,1,4,10,397,0,252,0,1,0,4,1
6177,1,30,2,3490,1,3,0,1,2,10,55,2,130,0,1,0,3,0
6178,1,35,1,3490,1,5,5,2,4,14,207,73,500,3,1,1,4,1
